,단어명,사설 빈도수
1516,편의점,2
1517,비만,2
1518,국책,2
1519,연구,2
1520,한수원,2
1521,대국,2
1522,데이터,2
1523,김상조,2
1524,태풍,2
1525,후의,2
1526,낙관,2
1527,우표,2
1528,보조금,2
1529,수소차,2
1530,경관,2
1531,주거,2
1532,대장,2
1533,사우디,2
1534,벵골,2
1535,불덩이,2
1536,테니스,2
1537,사면,2
1538,정찰,2
1539,무효,2
1540,비평,2
1541,조합,2
1542,학점,2
1543,발목,2
1544,증원,2
1545,절박,2
1546,지명,2
1547,간호사,2
1548,근무,2
1549,여건,2
1550,유력,2
1551,엄마,2
1552,국보법,2
1553,국가보훈처,2
1554,실현,2
1555,초청,2
1556,허용,2
1557,상자,2
1558,계절,2
1559,물질,2
1560,방산,2
1561,채택,2
1562,미술,2
1563,파마,2
1564,진영,2
1565,김정일,2
1566,이웃,2
1567,다스,2
1568,도발,2
1569,흔적,2
1570,영양,2
1571,수장,2
1572,역행,2
1573,글쓰기,2
1574,불공정,2
1575,이동,2
1576,대출,2
1577,이면,2
1578,헌법,2
1579,누비,2
1580,스팸,2
1581,세트,2
1582,예절,2
1583,캠코더,2
1584,감투,2
1585,신입생,2
1586,가도,2
1587,도둑,2
1588,기름,2
1589,폭발,2
1590,주택가,2
1591,심재철,2
1592,업무,2
1593,폭로,2
1594,해킹,2
1595,아기,2
1596,예수,2
1597,벌레,2
1598,보행,2
1599,전단,2
1600,공공,2
1601,선비,2
1602,수상자,2
1603,아예,2
1604,선동,2
1605,쐐기,2
1606,엔진,2
1607,우주,2
1608,탈락,2
1609,외신,2
1610,강성,2
1611,자동,2
1612,열기,2
1613,격의,2
1614,제국,2
1615,연령,2
1616,범인,2
1617,수도권,2
1618,법원행정처,2
1619,의전,2
1620,샤갈,2
1621,온갖,2
1622,반론,2
1623,영변,2
1624,백두산,2
1625,청문회,2
1626,조국,2
1627,머스크,2
1628,타임캡슐,2
1629,유공,2
1630,발음,2
1631,육사,2
1632,실세,2
1633,고분,2
1634,비행,2
1635,둘째,2
1636,첫째,2
1637,전부,2
1638,추월,2
1639,구상,2
1640,펀드,2
1641,방지,2
1642,특례,2
1643,제정,2
1644,긴급,2
1645,상승,2
1646,복직,2
1647,하인,2
1648,최치원,2
1649,크게,2
1650,경찰관,2
1651,조롱,2
1652,유세,2
1653,편이,2
1654,대안,2
1655,판단,2
1656,말로,2
1657,소설,2
1658,컴퓨터,2
1659,계단,2
1660,무궁화호,2
1661,걸작,2
1662,파트너,2
1663,노후,2
1664,실업,2
1665,현대,2
1666,인건비,2
1667,대론,2
1668,누드,2
1669,접근,2
1670,확증,2
1671,희생,2
1672,세탁기,2
1673,표적,2
1674,절망,2
1675,용국,2
1676,일이,2
1677,종이,2
1678,혼밥,2
1679,폐단,2
1680,민낯,2
1681,명령,2
1682,밀무역,2
1683,연가,2
1684,해소,2
1685,부모,2
1686,깜짝,2
1687,건국,2
1688,천재,2
1689,정의용,2
1690,김명수,2
1691,예술가,2
1692,성향,2
1693,영양실조,2
1694,신세대,2
1695,귀부인,2
1696,오기,2
1697,마다,2
1698,선박,2
1699,과목,2
1700,화장실,2
1701,할아버지,2
1702,파견,2
1703,국면,2
1704,묶인,2
1705,간첩,2
1706,분리,2
1707,상공,2
1708,박항서,2
1709,등록금,2
1710,한류,2
1711,숨통,2
1712,회귀,2
1713,상상,2
1714,자해,2
1715,저주,2
1716,절실,2
1717,국정원장,2
1718,측근,2
1719,공모,2
1720,재산,2
1721,권익위,2
1722,공백,2
1723,그게,2
1724,연일,2
1725,장학,2
1726,자본,2
1727,밤하늘,2
1728,고장,2
1729,존중,2
1730,질병,2
1731,반영,2
1732,삭제,2
1733,헛돈,2
1734,전모,2
1735,심기,2
1736,존엄,2
1737,속출,2
1738,유적,2
1739,전면,2
1740,그대로,2
1741,천덕,2
1742,꾸러기,2
1743,조각품,2
1744,실버,2
1745,발생,2
1746,기각,2
1747,법정,2
1748,시안,2
1749,중계방송,2
1750,좌표,2
1751,찍기,2
1752,베이징,2
1753,임금,2
1754,통째,2
1755,지식,2
1756,홈피,2
1757,식사,2
1758,과제,2
1759,선심,2
1760,존경,2
1761,세척,2
