,단어명,사회 빈도수
1599,망치,10
1600,족발,10
1601,순직,10
1602,단축,10
1603,쇼크,10
1604,임신,10
1605,여직원,10
1606,상실,10
1607,증평,10
1608,낙태,10
1609,수입,10
1610,유독가스,10
1611,자진,10
1612,인질,10
1613,과학,10
1614,신부,10
1615,지속,10
1616,무고,10
1617,서유기,10
1618,여진,10
1619,장맛비,10
1620,가사,10
1621,박동원,10
1622,하나은행,10
1623,신발,10
1624,효소,10
1625,영암,10
1626,게스트하우스,10
1627,실시,9
1628,명의,9
1629,외박,9
1630,리더,9
1631,상영,9
1632,대체,9
1633,시행,9
1634,요금,9
1635,끝내,9
1636,포착,9
1637,기승,9
1638,세운,9
1639,기구,9
1640,대기,9
1641,업자,9
1642,야산,9
1643,가운데,9
1644,민주,9
1645,국토부,9
1646,탄력,9
1647,월드,9
1648,노사,9
1649,기능,9
1650,절도,9
1651,정치권,9
1652,공소,9
1653,우산,9
1654,직장,9
1655,사령관,9
1656,단장,9
1657,진압,9
1658,전용,9
1659,대행,9
1660,자사고,9
1661,대학병원,9
1662,책임자,9
1663,시민단체,9
1664,행렬,9
1665,전역,9
1666,금품,9
1667,서로,9
1668,고향,9
1669,반격,9
1670,소녀,9
1671,린다,9
1672,총재,9
1673,소속사,9
1674,정보통신부,9
1675,퇴임,9
1676,철도,9
1677,친형,9
1678,여신,9
1679,국가대표,9
1680,인형,9
1681,특정,9
1682,사죄,9
1683,용병,9
1684,가처분,9
1685,생산,9
1686,대진,9
1687,키즈,9
1688,최저,9
1689,경신,9
1690,손해배상,9
1691,영어,9
1692,부분,9
1693,음식,9
1694,목적,9
1695,윤리,9
1696,급식,9
1697,고려,9
1698,면허,9
1699,벌써,9
1700,불참,9
1701,정상회담,9
1702,그녀,9
1703,도도,9
1704,참전용사,9
1705,이익,9
1706,목포,9
1707,과정,9
1708,이해,9
1709,감시,9
1710,과태료,9
1711,부사,9
1712,복무,9
1713,강서구,9
1714,직후,9
1715,노래방,9
1716,약속,9
1717,야구,9
1718,카풀,9
1719,파업,9
1720,희생,9
1721,분향소,9
1722,중독,9
1723,제거,9
1724,동결,9
1725,보유,9
1726,거절,9
1727,보건복지부,9
1728,감소,9
1729,수습,9
1730,영양,9
1731,관여,9
1732,최영미,9
1733,자백,9
1734,중형,9
1735,외교관,9
1736,왜곡,9
1737,출판사,9
1738,줄기세포,9
1739,장비,9
1740,구호,9
1741,성차별,9
1742,청산,9
1743,성금,9
1744,로스쿨,9
1745,부대,9
1746,맑음,9
1747,동해,9
1748,묵시,9
1749,권한,9
1750,반도체,9
1751,결혼식,9
1752,건보,9
1753,실소,9
1754,그냥,9
1755,전부,9
1756,루킹,9
