,단어명,경제 빈도수
830,택시,48
831,암호,48
832,석유화학,48
833,로또,48
834,중심,48
835,사주,48
836,돌입,48
837,발생,48
838,상생,48
839,내정,48
840,첨단,48
841,취소,48
842,국회,48
843,케어,48
844,포함,48
845,자체,48
846,저축은행,48
847,도약,48
848,조작,48
849,파업,48
850,오른,47
851,싱가포르,47
852,예정,47
853,일반,47
854,동반,47
855,이전,47
856,확산,47
857,주문,47
858,이하,47
859,확장,47
860,회계,47
861,점유,47
862,진흥,47
863,진화,47
864,파트너,47
865,종부세,47
866,인근,47
867,첫날,46
868,토지,46
869,북미,46
870,휴가,46
871,보험료,46
872,대림,46
873,허용,46
874,기준금리,46
875,부족,46
876,변신,46
877,즉시,46
878,벤츠,46
879,부활,46
880,품질,46
881,은행권,46
882,절차,46
883,근로,46
884,구역,46
885,신입,46
886,상황,46
887,총괄,45
888,개막,45
889,택배,45
890,소형,45
891,일감,45
892,발견,45
893,교통,45
894,대금,45
895,대란,45
896,임명,45
897,긍정,45
898,승률,45
899,에어컨,45
900,코인,45
901,급감,44
902,납품,44
903,서도,44
904,하나은행,44
905,추락,44
906,관광,44
907,부실,44
908,현실,44
909,사냥,44
910,밀러,44
911,연봉,44
912,제출,44
913,보수,44
914,팔자,44
915,단계,44
916,여의도,44
917,연구소,44
918,김홍진,44
919,정규직,43
920,구진,43
921,학회,43
922,미디어,43
923,여부,43
924,영화,43
925,제일제당,43
926,보호,43
927,보고,43
928,내부,43
929,시동,43
930,설계,43
931,유세,43
932,점포,43
933,근무,43
934,운규,43
935,시험,42
936,처음,42
937,노후,42
938,커피,42
939,주요,42
940,대치,42
941,선도,42
942,비결,42
943,호반,42
944,개통,42
945,불안,42
946,신도시,42
947,부자,42
948,음성,42
949,평창올림픽,42
950,손보,42
951,송금,42
952,실사,42
953,터미널,42
954,계좌,42
955,진에어,42
956,예고,41
957,호황,41
958,면역,41
959,김기천,41
960,연기,41
961,코노,41
962,가방,41
963,가입자,41
964,개장,41
965,통과,41
966,이야기,41
967,방통위,41
968,발전소,41
969,조건,41
970,대규모,41
971,임단협,41
972,붕괴,40
973,상의,40
974,세탁기,40
975,기계,40
976,단체,40
977,회원,40
978,제로,40
979,재계,40
980,호조,40
981,엔씨소프트,40
982,외부,40
983,현지,40
984,제작,40
985,그린,40
986,일제,40
987,호기,40
988,골프,40
989,대체,40
990,네트워크,40
991,처분,40
992,유상증자,40
993,플랜트,40
994,유진,40
995,면제,40
996,와인,40
997,자료,40
998,참석,40
999,잠정,40
1000,레드,39
1001,대화,39
1002,나눔,39
1003,불확실,39
1004,편입,39
1005,호주,39
1006,개입,39
1007,수술,39
1008,행차,39
1009,인식,39
1010,소통,39
1011,감리,39
1012,사임,39
1013,쇼핑몰,39
1014,전체,39
1015,해킹,39
1016,가족,39
1017,전면,39
1018,신한은행,39
1019,정상회담,39
1020,바이,38
1021,자문,38
1022,목소리,38
1023,사망,38
1024,분기,38
1025,역할,38
1026,바로,38
1027,급여,38
1028,반영,38
1029,질환,38
1030,데스크,38
1031,연결,38
1032,위성,38
1033,인구,38
1034,헬로,38
1035,복지,38
1036,자녀,38
1037,도시재생,38
1038,외국,38
1039,사랑,38
1040,예금,38
1041,승부,38
1042,라운드,38
1043,여명,38
1044,물량,38
1045,대학,38
1046,방식,38
1047,시세,38
1048,밸리,38
1049,주춤,38
1050,한진,38
1051,포스코건설,38
1052,생명과학,37
1053,오피스,37
1054,수소,37
1055,슈퍼,37
1056,대폭,37
1057,선거,37
1058,명품,37
1059,사용자,37
1060,휴대폰,37
1061,제조,37
1062,영국,37
1063,르포,37
1064,자동,37
1065,열풍,37
1066,네트웍,37
1067,자리,37
1068,신혼부부,37
1069,나무,37
1070,홈플러스,37
1071,출자,37
1072,사내,37
1073,최악,37
1074,사과,37
1075,사우디,37
1076,태국,37
1077,터키,37
1078,타결,37
1079,지진,36
1080,공포,36
1081,평택,36
1082,협업,36
1083,치매,36
1084,브라질,36
1085,연말,36
1086,리츠,36
1087,예측,36
1088,신뢰,36
1089,구광모,36
1090,공정,36
1091,발굴,36
1092,캠페인,36
1093,트럭,36
1094,플러스,36
1095,엔지니어링,36
1096,입찰,36
1097,주거,36
1098,트렌드,36
1099,마무리,36
1100,연간,36
1101,원유,36
1102,동원,36
1103,신입사원,36
1104,공무원,36
1105,신용등급,36
1106,홍콩,36
1107,자산운용,36
1108,푸르지오,36
1109,기업은행,36
1110,수사,36
1111,스타벅스,36
1112,매년,36
1113,재무,36
1114,행진,36
1115,추경,36
1116,월드컵,36
1117,공모전,35
1118,일가,35
1119,차단,35
1120,조절,35
1121,용산,35
1122,기본,35
1123,양산,35
1124,포기,35
1125,대만,35
1126,치킨,35
1127,미리,35
1128,취약,35
1129,예방,35
1130,유력,35
1131,간다,35
1132,유한양행,35
1133,유튜브,35
1134,연합,35
1135,정지,35
1136,아프리카,35
1137,쌍용차,35
1138,해운,35
1139,동아,35
1140,긴급,35
1141,석탄,35
1142,과열,35
1143,국세청,35
1144,경고,34
1145,위축,34
1146,코스피지수,34
1147,폭락,34
1148,나노,34
1149,김기식,34
1150,지식,34
1151,대웅제약,34
1152,진입,34
1153,제휴,34
1154,축제,34
1155,올림픽,34
1156,금통위,34
1157,가을,34
1158,실시간,34
1159,전선,34
1160,유통업,34
1161,아이디어,34
1162,메모리,34
1163,유찰,34
1164,공원,34
1165,정유,34
1166,가속,34
1167,임대료,34
1168,여전,34
1169,준공,34
1170,미분,34
1171,하이트진로,34
1172,노동,34
1173,도심,34
1174,정통부,34
1175,변동,34
1176,동시,34
1177,실명,34
1178,홍보,33
1179,결론,33
1180,사드,33
1181,의사,33
1182,복지부,33
1183,분당,33
1184,주말,33
1185,창립,33
1186,투표,33
1187,지연,33
1188,전세계,33
1189,세종,33
1190,연체,33
1191,철회,33
1192,선사,33
1193,피부,33
1194,기기,33
1195,답변,33
1196,주민,33
1197,키즈,33
1198,노력,33
1199,공항,33
1200,종료,33
1201,프랑스,33
1202,국민은행,33
1203,전기요금,33
1204,에쓰오일,33
1205,지점,33
1206,능력,33
1207,최소,33
1208,개점,33
1209,제일기획,33
1210,대학생,33
1211,전무,33
1212,판교,33
1213,전경련,33
1214,사흘,33
1215,운행,33
1216,정기,33
1217,소주,32
1218,사전,32
1219,주력,32
1220,타운,32
1221,한파,32
1222,빌딩,32
1223,초대형,32
1224,차별,32
1225,통운,32
1226,아동,32
1227,의류,32
1228,생태계,32
1229,청소년,32
1230,권고,32
1231,하이,32
1232,사퇴,32
1233,분식회계,32
1234,구성,32
1235,실리콘밸리,32
1236,양극화,32
1237,이란,32
1238,효율,32
1239,개방,32
1240,호재,32
1241,고용부,32
1242,합작,32
1243,도세,32
1244,이제,32
1245,상공,32
1246,장애,32
1247,겨냥,32
1248,구속,32
1249,사옥,32
1250,공기청정기,32
1251,쌍용,32
1252,전시회,32
1253,마을,32
1254,수급,32
1255,스토어,32
1256,리터,32
1257,세종시,31
1258,해지,31
1259,겨울,31
1260,동영상,31
1261,영진,31
1262,포커스,31
1263,부총리,31
1264,생존,31
1265,얼굴,31
1266,신축,31
1267,한도,31
1268,연중,31
1269,행복,31
1270,서민,31
1271,인정,31
1272,체계,31
1273,독점,31
1274,배송,31
1275,중동,31
1276,누가,31
1277,반토막,31
1278,무선,31
1279,망치,31
1280,경신,31
1281,프랜차이즈,31
1282,신형,31
1283,정식,31
1284,고속도로,31
1285,담합,31
1286,그린벨트,31
1287,대로,31
1288,과학기술,31
1289,투명,31
1290,협회장,31
1291,역량,31
1292,의료기기,31
1293,상한,31
1294,별세,31
1295,박차,30
1296,적금,30
1297,불공정,30
1298,초반,30
1299,인건비,30
1300,선위,30
1301,신작,30
1302,라이프,30
1303,징계,30
1304,에스,30
1305,과천,30
1306,손관,30
1307,전량,30
1308,공세,30
1309,실장,30
1310,다른,30
1311,위탁,30
1312,감축,30
1313,수혜,30
1314,격차,30
1315,한국인,30
1316,악재,30
1317,케이블,30
1318,세븐일레븐,30
1319,필수,30
1320,지난달,30
1321,노인,30
1322,단기,30
1323,계층,30
1324,김정태,30
1325,조명,30
1326,간편,30
1327,투기,30
1328,중요,30
1329,베스트,30
1330,노미,30
1331,공채,30
1332,농업,30
1333,호선,30
1334,의심,30
1335,태풍,30
1336,차이,30
1337,표준,30
1338,개사,29
1339,시중,29
1340,교보,29
1341,침체,29
1342,외환,29
1343,도로,29
1344,데이,29
1345,보호무역,29
1346,용량,29
1347,큐셀,29
1348,결합,29
1349,강조,29
1350,한계,29
1351,보건,29
1352,감정,29
1353,오리온,29
1354,정상,29
1355,조선업,29
1356,스튜디오,29
1357,침대,29
1358,제안,29
1359,호점,29
1360,검색,29
1361,클럽,29
1362,전통,29
1363,한번,29
1364,건물,29
1365,종근당,29
1366,작업,29
1367,아모레퍼시픽,29
1368,정밀,29
1369,플라스틱,29
1370,음식,29
1371,아카데미,29
1372,변수,29
1373,의장,29
1374,부장,29
1375,충격,29
1376,세이프,29
1377,가드,29
1378,우주,28
1379,주장,28
1380,차등,28
1381,실패,28
1382,기사,28
1383,보사,28
1384,스카이라이프,28
1385,보복,28
1386,두산인프라코어,28
1387,열기,28
1388,총리,28
1389,해상,28
1390,간편식,28
1391,이름,28
1392,코스,28
1393,블루,28
1394,이용자,28
1395,코트라,28
1396,과도,28
1397,박용만,28
1398,건설업,28
1399,중견,28
1400,관계,28
1401,테슬라,28
1402,줄줄이,28
1403,캐나다,28
1404,감시,28
1405,유망,28
1406,검증,28
1407,해제,28
1408,승진,28
1409,선언,28
1410,질주,28
1411,무인,28
1412,한국은행,28
1413,순환,28
1414,룩스,28
1415,발목,27
1416,기획,27
1417,파워,27
1418,넷플릭스,27
1419,요즘,27
1420,비트,27
1421,손해,27
1422,우버,27
1423,복귀,27
1424,초청,27
