,사설단어
619,"('사퇴', 7)"
620,"('아래', 7)"
621,"('지방', 7)"
622,"('국군', 7)"
623,"('도전', 7)"
624,"('업체', 7)"
625,"('호황', 7)"
626,"('한미', 7)"
627,"('풍경', 7)"
628,"('기무사', 7)"
629,"('바로', 7)"
630,"('집권', 7)"
631,"('교체', 7)"
632,"('취소', 7)"
633,"('무', 7)"
634,"('여름', 7)"
635,"('거', 7)"
636,"('장사', 7)"
637,"('환상', 7)"
638,"('확인', 7)"
639,"('국정원', 7)"
640,"('지지', 7)"
641,"('이벤트', 7)"
642,"('의사', 7)"
643,"('부실', 7)"
644,"('난민', 7)"
645,"('까닭', 7)"
646,"('공장', 7)"
647,"('기간', 7)"
648,"('참여', 7)"
649,"('대비', 7)"
650,"('공짜', 7)"
651,"('금감원', 7)"
652,"('등장', 7)"
653,"('경호', 7)"
654,"('내년', 6)"
655,"('도심', 6)"
656,"('압수', 6)"
657,"('싸움', 6)"
658,"('태', 6)"
659,"('사과', 6)"
660,"('서민', 6)"
661,"('애', 6)"
662,"('목소리', 6)"
663,"('공연', 6)"
664,"('퇴짜', 6)"
665,"('서비스', 6)"
666,"('리선', 6)"
667,"('년', 6)"
668,"('공화국', 6)"
669,"('살', 6)"
670,"('갈등', 6)"
671,"('입장', 6)"
672,"('반드시', 6)"
673,"('냉면', 6)"
674,"('아무', 6)"
675,"('통일', 6)"
676,"('경영', 6)"
677,"('끼리', 6)"
678,"('심', 6)"
679,"('논쟁', 6)"
680,"('붕괴', 6)"
681,"('희망', 6)"
682,"('작전', 6)"
683,"('부', 6)"
684,"('보', 6)"
685,"('검', 6)"
686,"('처벌', 6)"
687,"('입시', 6)"
688,"('도입', 6)"
689,"('잔치', 6)"
690,"('김경준', 6)"
691,"('탐구', 6)"
692,"('자동차', 6)"
693,"('반복', 6)"
694,"('지능', 6)"
695,"('공공기관', 6)"
696,"('고령', 6)"
697,"('대처', 6)"
698,"('대상', 6)"
699,"('겨울', 6)"
700,"('김윤덕', 6)"
701,"('줌마', 6)"
702,"('사법부', 6)"
703,"('고양이', 6)"
704,"('주장', 6)"
705,"('간다', 6)"
706,"('주민', 6)"
707,"('통해', 6)"
708,"('진보', 6)"
709,"('취급', 6)"
710,"('개방', 6)"
711,"('박수', 6)"
712,"('바보', 6)"
713,"('주', 6)"
714,"('국제', 6)"
715,"('밤', 6)"
716,"('추석', 6)"
717,"('현', 6)"
718,"('주목', 6)"
719,"('설', 6)"
720,"('생활', 6)"
721,"('인식', 6)"
722,"('인기', 6)"
723,"('비', 6)"
724,"('도로', 6)"
725,"('버스', 6)"
726,"('딸', 6)"
727,"('병력', 6)"
728,"('포스코', 6)"
729,"('쓰레기', 6)"
730,"('역', 6)"
731,"('탈출', 6)"
732,"('요구', 6)"
733,"('처음', 6)"
734,"('시민', 6)"
735,"('팝', 6)"
736,"('품격', 6)"
737,"('글로벌', 6)"
738,"('방식', 6)"
739,"('집단', 6)"
740,"('앞서', 6)"
741,"('지지율', 6)"
742,"('눈물', 6)"
743,"('사상', 6)"
744,"('담배', 6)"
745,"('뭔가', 6)"
746,"('필요', 6)"
747,"('소통', 6)"
748,"('김경수', 6)"
749,"('탈북자', 6)"
750,"('안희정', 6)"
751,"('열병', 6)"
752,"('공동', 6)"
753,"('군', 6)"
754,"('방문', 6)"
755,"('독일', 6)"
756,"('코드', 6)"
757,"('대사', 6)"
758,"('개입', 6)"
759,"('남자', 6)"
760,"('공세', 6)"
761,"('차량', 6)"
762,"('제왕', 6)"
763,"('개정', 6)"
764,"('보호', 6)"
765,"('보험', 6)"
766,"('실리콘밸리', 6)"
767,"('폭행', 6)"
768,"('권', 6)"
769,"('총리', 6)"
770,"('감', 6)"
771,"('친구', 6)"
772,"('로봇', 6)"
773,"('탈북', 6)"
774,"('욕', 6)"
775,"('오디오', 6)"
776,"('김여정', 6)"
777,"('정현', 6)"
778,"('의지', 5)"
779,"('도덕', 5)"
780,"('홍보', 5)"
781,"('화해', 5)"
782,"('복지', 5)"
783,"('실험', 5)"
784,"('공정', 5)"
785,"('관', 5)"
786,"('영호', 5)"
787,"('여기', 5)"
788,"('연금', 5)"
789,"('다리', 5)"
790,"('관광', 5)"
791,"('무기', 5)"
