,정치단어
504,"('안희정', 32)"
505,"('행', 32)"
506,"('여성', 32)"
507,"('서훈', 32)"
508,"('당선자', 32)"
509,"('강행', 31)"
510,"('원희룡', 31)"
511,"('해체', 31)"
512,"('조율', 31)"
513,"('해외', 31)"
514,"('기념', 31)"
515,"('그', 31)"
516,"('촉구', 31)"
517,"('교류', 31)"
518,"('심재철', 31)"
519,"('기관', 31)"
520,"('성과', 30)"
521,"('선물', 30)"
522,"('세력', 30)"
523,"('채택', 30)"
524,"('의장', 30)"
525,"('통보', 30)"
526,"('방위', 30)"
527,"('개정', 30)"
528,"('강조', 30)"
529,"('간다', 30)"
530,"('제출', 30)"
531,"('일부', 30)"
532,"('취임', 30)"
533,"('국제', 30)"
534,"('사', 30)"
535,"('내용', 30)"
536,"('때문', 30)"
537,"('이방', 30)"
538,"('귀국', 30)"
539,"('설치', 30)"
540,"('군', 30)"
541,"('종료', 30)"
542,"('세', 30)"
543,"('집중', 30)"
544,"('의심', 30)"
545,"('주민', 30)"
546,"('창', 30)"
547,"('전쟁', 30)"
548,"('우원식', 30)"
549,"('기', 29)"
550,"('대변인', 29)"
551,"('의미', 29)"
552,"('단계', 29)"
553,"('얘기', 29)"
554,"('처음', 29)"
555,"('조작', 29)"
556,"('공단', 29)"
557,"('지방', 29)"
558,"('공조', 29)"
559,"('승리', 29)"
560,"('조선', 29)"
561,"('김영남', 29)"
562,"('공항', 29)"
563,"('혐의', 29)"
564,"('비대', 29)"
565,"('특활비', 29)"
566,"('석', 29)"
567,"('노동신문', 28)"
568,"('총장', 28)"
569,"('속도', 28)"
570,"('전면', 28)"
571,"('나', 28)"
572,"('시', 28)"
573,"('여권', 28)"
574,"('거론', 28)"
575,"('만난', 28)"
576,"('주년', 28)"
577,"('철회', 28)"
578,"('반발', 28)"
579,"('여부', 28)"
580,"('역할', 28)"
581,"('사전', 28)"
582,"('리용호', 28)"
583,"('사고', 28)"
584,"('보', 28)"
585,"('여론조사', 28)"
586,"('단일', 28)"
587,"('피해', 27)"
588,"('중지', 27)"
589,"('판', 27)"
590,"('현실', 27)"
591,"('유력', 27)"
592,"('전환', 27)"
593,"('운영', 27)"
594,"('유지', 27)"
595,"('대한민국', 27)"
596,"('경선', 27)"
597,"('감사', 27)"
598,"('반입', 27)"
599,"('구', 27)"
600,"('성추행', 27)"
601,"('산', 27)"
602,"('표', 27)"
603,"('율', 27)"
604,"('군수', 27)"
605,"('마식령', 27)"
606,"('강제', 26)"
607,"('출범', 26)"
608,"('보고서', 26)"
609,"('손', 26)"
610,"('재판', 26)"
611,"('육군', 26)"
612,"('돌입', 26)"
613,"('참여', 26)"
614,"('충돌', 26)"
615,"('회장', 26)"
616,"('먼저', 26)"
617,"('뉴욕', 26)"
618,"('국감', 26)"
619,"('마련', 26)"
620,"('가짜', 26)"
621,"('호', 26)"
622,"('불법', 26)"
623,"('평가', 26)"
624,"('막판', 26)"
625,"('정상화', 26)"
626,"('만남', 26)"
627,"('상임', 26)"
628,"('불참', 26)"
629,"('출장', 26)"
630,"('직', 26)"
631,"('저', 26)"
632,"('부산', 26)"
633,"('복귀', 26)"
634,"('보복', 26)"
635,"('악수', 26)"
636,"('중앙', 26)"
637,"('오찬', 26)"
638,"('병', 26)"
639,"('선수', 26)"
640,"('울산', 26)"
641,"('호소', 26)"
642,"('도입', 25)"
643,"('개입', 25)"
644,"('야권', 25)"
645,"('국민연금', 25)"
646,"('겨냥', 25)"
647,"('직전', 25)"
648,"('대위', 25)"
649,"('인도', 25)"
650,"('게', 25)"
651,"('첫날', 25)"
652,"('등장', 25)"
653,"('일방', 25)"
654,"('동행', 25)"
655,"('경호', 25)"
656,"('이전', 25)"
657,"('깜짝', 25)"
658,"('선발', 25)"
659,"('진', 25)"
660,"('누구', 25)"
661,"('전남', 25)"
662,"('사회', 24)"
663,"('탈', 24)"
664,"('작전', 24)"
665,"('경고', 24)"
666,"('완전', 24)"
667,"('정치권', 24)"
668,"('침묵', 24)"
669,"('개편', 24)"
670,"('추천', 24)"
671,"('건설', 24)"
672,"('공격', 24)"
673,"('칼', 24)"
674,"('관광', 24)"
675,"('이틀', 24)"
676,"('행동', 24)"
677,"('한국인', 24)"
678,"('완료', 24)"
679,"('본격', 24)"
680,"('이재용', 24)"
681,"('의견', 24)"
682,"('차례', 24)"
683,"('직원', 24)"
684,"('홍보', 24)"
685,"('의제', 24)"
686,"('긴급', 24)"
687,"('미투', 24)"
688,"('대구', 24)"
689,"('추경', 24)"
690,"('적극', 23)"
691,"('개발', 23)"
692,"('급', 23)"
693,"('부동산', 23)"
694,"('신임', 23)"
695,"('가장', 23)"
696,"('뜻', 23)"
697,"('특위', 23)"
698,"('냉면', 23)"
699,"('태', 23)"
700,"('탁현민', 23)"
701,"('변화', 23)"
702,"('판단', 23)"
703,"('사찰', 23)"
704,"('리얼미터', 23)"
705,"('효과', 23)"
