,단어명,빈도수
1450,토지,25
1451,모색,25
1452,아파트,25
1453,석방,25
1454,블랙리스트,25
1455,건보,25
1456,감당,25
1457,실업,25
1458,높이,25
1459,미대,25
1460,최대한,25
1461,땅,25
1462,주기,25
1463,열병,25
1464,법정,25
1465,찬성,25
1466,여지,25
1467,공항,25
1468,몇,25
1469,개각,25
1470,실세,25
1471,공정위,25
1472,정시,25
1473,선수단,25
1474,건의,24
1475,거래소,24
1476,내비,24
1477,반박,24
1478,벌이,24
1479,생활,24
1480,지휘,24
1481,사무실,24
1482,틀,24
1483,전임,24
1484,대입,24
1485,시한,24
1486,사의,24
1487,엉터리,24
1488,실패,24
1489,유세,24
1490,투자가,24
1491,소비,24
1492,집단,24
1493,노릇,24
1494,동성,24
1495,주목,24
1496,양보,24
1497,성폭력,24
1498,양심,24
1499,실적,24
1500,정말,24
1501,총회,24
1502,원자력,24
1503,온갖,24
1504,노동시장,24
1505,진영,24
1506,상호,24
1507,독립,24
1508,짐작,24
1509,일보,24
1510,보기,24
1511,아무,24
1512,주변,24
1513,까닭,24
1514,이명박,24
1515,가계부채,24
1516,민변,24
1517,노동신문,24
1518,내지,24
1519,품목,24
1520,미투,24
1521,대남,24
1522,연습,24
1523,토막,23
1524,확장,23
1525,보안,23
1526,담당,23
1527,탄력,23
1528,주말,23
1529,인천,23
1530,정작,23
1531,군인,23
1532,가량,23
1533,부장,23
1534,중간,23
1535,하원,23
1536,마치,23
1537,사망,23
1538,상당수,23
1539,초기,23
1540,대외,23
1541,주지,23
1542,곧,23
1543,노선,23
1544,측정,23
1545,상의,23
1546,편,23
1547,아시아,23
1548,선전,23
1549,차지,23
1550,과도,23
1551,파업,23
1552,연결,23
1553,세로,23
1554,순환,23
1555,민심,23
1556,전작권,23
1557,한전,23
1558,수급,23
1559,둘,23
1560,장병,23
1561,걸,23
1562,개념,23
1563,고리,23
1564,국무총리,23
1565,채널,23
1566,볼턴,23
1567,외국,23
1568,지명,23
1569,취재,23
1570,폭염,23
1571,호기,23
1572,포털,23
1573,손실,22
1574,외환위기,22
1575,행진,22
1576,고스,22
1577,누구,22
1578,노총,22
1579,작동,22
1580,파장,22
1581,영구,22
1582,머리,22
1583,편성,22
1584,줄줄이,22
1585,지출,22
1586,취약,22
1587,아래,22
1588,직결,22
1589,강제,22
1590,재벌,22
1591,응,22
1592,리지,22
1593,지도자,22
1594,국회의장,22
1595,월,22
1596,선심,22
1597,청,22
1598,의료,22
1599,출구,22
1600,소장,22
1601,전기,22
1602,고개,22
1603,성격,22
1604,국무회의,22
1605,부부,22
1606,료,22
1607,법률,22
1608,보험,22
1609,엔진,22
1610,동맹국,22
1611,아들,22
1612,경협,22
1613,대출,22
1614,부진,22
1615,허물,22
1616,유족,22
1617,결단,22
1618,수렴,22
1619,명단,22
1620,철회,22
1621,기재부,22
1622,합리,22
1623,고령화,22
1624,거꾸로,22
1625,본질,22
1626,근무,22
1627,마지막,22
1628,관여,22
1629,수능,22
1630,산입,22
1631,회계,21
1632,착수,21
1633,체감,21
1634,마이너스,21
1635,순위,21
1636,침체,21
1637,제의,21
1638,총파업,21
1639,마크,21
1640,비극,21
1641,행보,21
1642,일선,21
1643,약화,21
1644,재발,21
1645,선의,21
1646,학년,21
1647,개편안,21
1648,점도,21
1649,도로,21
1650,특수,21
1651,당사자,21
1652,예외,21
1653,노동자,21
1654,구호,21
1655,초점,21
1656,모자라,21
1657,탈출,21
1658,자주,21
1659,외치,21
1660,외무,21
1661,전방,21
1662,출연,21
1663,의장,21
1664,탈북,21
1665,안이,21
1666,무죄,21
1667,붙이,21
1668,남발,21
1669,참모,21
1670,간의,21
1671,병,21
1672,어려움,21
1673,서민,21
1674,필수,21
1675,세습,21
1676,유념,21
1677,분노,21
1678,풀이,21
1679,아동,21
1680,전개,21
1681,이낙연,21
1682,조만간,21
1683,캠프,21
1684,악성,21
1685,폭침,21
1686,신조,21
1687,꿈,21
1688,포스코,21
1689,공직,21
1690,기관지,21
1691,살포,21
1692,총력,21
1693,예측,21
1694,몰래,21
1695,도부,21
1696,성의,20
1697,체,20
1698,해임,20
1699,파산,20
1700,세수,20
1701,경찰청,20
1702,광주,20
1703,공권력,20
1704,선진국,20
1705,불안,20
1706,신임,20
1707,수치,20
1708,언행,20
1709,총선,20
1710,가야,20
1711,노후,20
1712,만들기,20
1713,상,20
1714,뉴욕,20
1715,과학,20
1716,공유,20
1717,상생,20
1718,외무성,20
1719,극적,20
1720,정전협정,20
1721,영변,20
1722,관건,20
1723,악,20
1724,분리,20
1725,국내총생산,20
1726,정성,20
1727,근절,20
1728,기업인,20
1729,대체,20
1730,방어,20
1731,공포,20
1732,법인세,20
1733,이명박정부,20
1734,금융위기,20
1735,출생,20
1736,사립,20
1737,리기,20
1738,격차,20
1739,상식,20
1740,법인,20
1741,함,20
1742,이틀,20
1743,파행,20
1744,존,20
1745,강경화,20
1746,기적,20
1747,단장,20
1748,김명수,20
1749,심판,20
1750,기각,20
1751,친서,20
1752,꼼수,20
1753,삭제,20
1754,일당,20
1755,오후,20
1756,신년사,20
1757,심사,19
1758,계,19
1759,압력,19
1760,시범,19
1761,사무,19
