,단어명,빈도수
845,이건희,5
846,직접,5
847,판,5
848,윤석,5
849,헌,5
850,즉시,5
851,비밀,5
852,타결,5
853,가나,5
854,통신,5
855,상금,4
856,소,4
857,방향,4
858,보완,4
859,딜레마,4
860,집행,4
861,척,4
862,뱅킹,4
863,부정,4
864,후계,4
865,지주사,4
866,해법,4
867,감사원,4
868,한전,4
869,대체,4
870,량,4
871,출국,4
872,뷰티,4
873,예고,4
874,택배,4
875,한수원,4
876,하도급,4
877,대금,4
878,노선,4
879,상황,4
880,특혜,4
881,외부,4
882,행보,4
883,가장,4
884,진흥,4
885,음료,4
886,상담,4
887,이하,4
888,감,4
889,조직,4
890,노동,4
891,하루,4
892,공감,4
893,소형,4
894,거리,4
895,팔,4
896,둔화,4
897,대화,4
898,운항,4
899,복합,4
900,열사,4
901,마무리,4
902,하반기,4
903,대진,4
904,그린,4
905,맞춤,4
906,저축,4
907,쑥,4
908,감시,4
909,보고,4
910,휴가,4
911,감독,4
912,마이,4
913,주유소,4
914,인수,4
915,저축은행,4
916,특수,4
917,과,4
918,보료,4
919,반덤핑,4
920,로봇,4
921,위축,4
922,공시,4
923,아파트,4
924,깜깜,4
925,운명,4
926,사건,4
927,대회,4
928,후원,4
929,우유,4
930,청소년,4
931,농가,4
932,강,4
933,향,4
934,배터리,4
935,비용,4
936,싹,4
937,증권사,4
938,떡,4
939,기소,4
940,기여,4
941,이유,4
942,주의보,4
943,불공정,4
944,탓,4
945,어린이집,4
946,보장,4
947,기준금리,4
948,작심,4
949,부작용,4
950,코인,4
951,가전,4
952,휴대,4
953,채굴,4
954,이,4
955,우드,4
956,펀딩,4
957,우체국,4
958,관건,4
959,꼭,4
960,급식,4
961,전달,4
962,대통령,4
963,시,4
964,수도,4
965,큐,4
966,주행,4
967,시범,4
968,장사,4
969,감사,4
970,예금,4
971,금제,4
972,청원,4
973,서울시,4
974,질,4
975,성과급,4
976,동영상,4
977,환전,4
978,열차,4
979,권고,4
980,지시,4
981,리,4
982,공식,4
983,일반,4
984,이전,4
985,바,4
986,빅데이터,4
987,폭풍,4
988,상호금융,4
989,워크숍,4
990,스킨,4
991,실내,4
992,경제부총리,4
993,골프,4
994,케어,4
995,얼마,4
996,학교,4
997,퇴,4
998,해고,4
999,신임,4
1000,의자,4
1001,청구,4
1002,매트리스,4
1003,품목,4
1004,노비타,4
1005,구속,4
1006,사기,4
1007,공동,4
1008,텔레콤,4
1009,치,4
1010,동반,4
1011,생리대,4
1012,활동,4
1013,상반기,4
1014,위원회,4
1015,대륙,4
1016,신약,4
1017,벤처기업,4
1018,체류,4
1019,강세,4
1020,시험,4
1021,임시,4
1022,불확실,4
1023,자본,4
1024,갑질,4
1025,땅,4
1026,일손,4
1027,돕기,4
1028,백화점,4
1029,관,4
1030,공익,4
1031,재단,4
1032,차입,4
1033,영진,4
1034,오전,4
1035,공기청정기,4
1036,여객,4
1037,통화,4
1038,전력,4
1039,선언,4
1040,인천,4
1041,공인,4
1042,포함,4
1043,예약,4
1044,초,4
1045,고령,4
1046,컨설팅,4
1047,항공기,4
1048,전통,4
1049,자원,4
1050,줄줄이,4
1051,방위,4
1052,횡령,4
1053,행정,4
1054,결과,4
1055,작업,4
1056,데이터,4
1057,재산,4
1058,대법,4
1059,심각,4
1060,살,4
1061,스,4
1062,입,4
1063,오늘,4
1064,내일,4
1065,재건축,4
1066,폭행,4
1067,걱정,4
1068,실수,4
1069,희비,4
1070,대감,4
1071,대박,4
1072,연구,4
1073,어린이날,4
1074,직업,4
1075,동결,4
1076,예술,4
1077,뒤,4
1078,부활,4
1079,파악,4
1080,실,4
1081,익,4
1082,소탈,4
1083,상조,4
1084,분할,4
1085,창립,4
1086,노후,4
1087,크게,4
1088,인구,4
1089,서류,4
1090,노인,4
1091,피해자,4
1092,결혼,4
1093,예정,4
1094,관세청장,4
1095,반토막,4
1096,수요,4
1097,날개,4
1098,션,4
1099,마리,4
1100,대학,4
1101,물산,4
1102,채,4
1103,협의,4
1104,시민단체,4
1105,더블,4
1106,어디,4
1107,파국,4
1108,외식,4
1109,총재,4
1110,결렬,4
1111,한미,4
1112,정권,4
1113,침체,3
1114,만,3
1115,정비,3
1116,동시,3
1117,악화,3
1118,기업인,3
1119,대한민국,3
1120,으뜸,3
1121,여론,3
1122,실직,3
1123,월간,3
1124,두,3
1125,접속,3
1126,시도,3
1127,신동주,3
1128,톱,3
1129,무선,3
1130,청소기,3
1131,맥스,3
1132,로부터,3
1133,장마철,3
1134,급감,3
1135,필수품,3
1136,독일,3
1137,후끈,3
1138,열풍,3
1139,노동자,3
1140,위협,3
1141,버스,3
1142,주문,3
1143,수산물,3
1144,보건,3
1145,연내,3
1146,보호무역,3
1147,술집,3
1148,시간제,3
1149,섭취,3
1150,에어,3
1151,위생,3
1152,앞장,3
1153,도심,3
1154,임대료,3
1155,차세대,3
1156,재난,3
1157,제주,3
1158,주력,3
1159,규정,3
1160,주춤,3
1161,소비자원,3
1162,잠재,3
1163,현지,3
1164,청,3
1165,간소화,3
