,사회단어
709,"('보물', 26)"
710,"('조민기', 26)"
711,"('운영', 25)"
712,"('생각', 25)"
713,"('종로', 25)"
714,"('얼굴', 25)"
715,"('경찰서', 25)"
716,"('판단', 25)"
717,"('공단', 25)"
718,"('소방', 25)"
719,"('진흥', 25)"
720,"('마을', 25)"
721,"('첫째', 25)"
722,"('사찰', 25)"
723,"('고양', 25)"
724,"('실장', 25)"
725,"('기관', 25)"
726,"('축제', 25)"
727,"('치매', 25)"
728,"('사법부', 25)"
729,"('지방', 25)"
730,"('발자취', 25)"
731,"('안해', 25)"
732,"('지휘', 25)"
733,"('보좌', 25)"
734,"('법정구속', 25)"
735,"('대학생', 25)"
736,"('집유', 25)"
737,"('아시아', 25)"
738,"('적용', 25)"
739,"('붕괴', 25)"
740,"('유해', 25)"
741,"('거', 25)"
742,"('권력', 25)"
743,"('양예원', 25)"
744,"('외국인', 25)"
745,"('군산', 25)"
746,"('개혁', 24)"
747,"('본사', 24)"
748,"('사위', 24)"
749,"('교통', 24)"
750,"('광화문', 24)"
751,"('제천', 24)"
752,"('철거', 24)"
753,"('난동', 24)"
754,"('훈련', 24)"
755,"('소환조사', 24)"
756,"('종교', 24)"
757,"('발', 24)"
758,"('권', 24)"
759,"('남친', 24)"
760,"('사이', 24)"
761,"('수당', 24)"
762,"('보석', 24)"
763,"('뿐', 24)"
764,"('가지', 24)"
765,"('까닭', 24)"
766,"('세상', 24)"
767,"('파기', 24)"
768,"('대형', 24)"
769,"('구치소', 24)"
770,"('공동', 24)"
771,"('강도', 24)"
772,"('쿠키', 24)"
773,"('예멘', 24)"
774,"('르포', 24)"
775,"('작가', 24)"
776,"('가구', 24)"
777,"('김명수', 24)"
778,"('경제', 24)"
779,"('입장', 24)"
780,"('무료', 24)"
781,"('전직', 24)"
782,"('무더위', 24)"
783,"('행정권', 23)"
784,"('예정', 23)"
785,"('징역형', 23)"
786,"('회복', 23)"
787,"('세금', 23)"
788,"('선거', 23)"
789,"('경', 23)"
790,"('국회의원', 23)"
791,"('자료', 23)"
792,"('시설', 23)"
793,"('동생', 23)"
794,"('베트남', 23)"
795,"('정치자금', 23)"
796,"('강화', 23)"
797,"('차별', 23)"
798,"('멸', 23)"
799,"('조정', 23)"
800,"('수수', 23)"
801,"('축구', 23)"
802,"('스타', 23)"
803,"('서지현', 23)"
804,"('이름', 23)"
805,"('사퇴', 23)"
806,"('결론', 23)"
807,"('측근', 23)"
808,"('차장', 23)"
809,"('법관', 23)"
810,"('기간', 23)"
811,"('자살', 23)"
812,"('홍대', 23)"
813,"('자녀', 23)"
814,"('히말라야', 23)"
815,"('마트', 23)"
816,"('녀', 23)"
817,"('외압', 23)"
818,"('롯데', 23)"
819,"('머리', 23)"
820,"('여행', 23)"
821,"('전복', 23)"
822,"('태극기', 23)"
823,"('경찰관', 22)"
824,"('징용', 22)"
825,"('복지', 22)"
826,"('장', 22)"
827,"('청장', 22)"
828,"('쓰레기', 22)"
829,"('탈북', 22)"
830,"('발부', 22)"
831,"('모델', 22)"
832,"('정', 22)"
833,"('폭언', 22)"
834,"('탈출', 22)"
835,"('양심', 22)"
836,"('훈장', 22)"
837,"('반박', 22)"
838,"('제출', 22)"
839,"('네', 22)"
840,"('경비원', 22)"
841,"('대전', 22)"
842,"('삶', 22)"
843,"('편', 22)"
844,"('적발', 22)"
845,"('투입', 22)"
846,"('처분', 22)"
847,"('침대', 22)"
848,"('상륙', 22)"
849,"('과', 22)"
850,"('최종', 22)"
851,"('초등생', 22)"
852,"('언론', 22)"
853,"('거리', 22)"
854,"('흡연', 22)"
855,"('광고', 22)"
856,"('제자', 22)"
857,"('공정위', 22)"
858,"('접촉', 22)"
859,"('지지자', 22)"
860,"('소나기', 22)"
861,"('김관진', 22)"
862,"('배임', 21)"
863,"('도입', 21)"
864,"('피소', 21)"
865,"('군', 21)"
866,"('이사', 21)"
867,"('강원', 21)"
868,"('학대', 21)"
869,"('원인', 21)"
870,"('재활용', 21)"
871,"('비판', 21)"
872,"('생중계', 21)"
873,"('승용차', 21)"
874,"('저', 21)"
875,"('꼭', 21)"
876,"('해임', 21)"
877,"('토론회', 21)"
878,"('환경', 21)"
879,"('혁신', 21)"
880,"('상대', 21)"
881,"('성관계', 21)"
882,"('경찰청', 21)"
883,"('계획', 21)"
884,"('지급', 21)"
885,"('감', 21)"
886,"('스캔들', 21)"
887,"('출근길', 21)"
888,"('편의점', 21)"
889,"('주차', 21)"
890,"('추위', 21)"
891,"('벌금형', 21)"
892,"('비결', 21)"
893,"('경고', 21)"
894,"('강용석', 21)"
895,"('직', 21)"
896,"('강서', 21)"
897,"('대사', 21)"
898,"('구속기소', 21)"
899,"('탈세', 21)"
900,"('겨울', 21)"
901,"('먼저', 21)"
902,"('개인', 21)"
903,"('보육', 21)"
904,"('보복', 21)"
905,"('아시아나', 21)"
906,"('사형', 21)"
907,"('협회장', 21)"
908,"('게임', 21)"
909,"('제한', 21)"
910,"('익범', 21)"
911,"('협의', 21)"
912,"('정전', 21)"
913,"('인명', 21)"
914,"('특보', 21)"
915,"('물폭탄', 21)"
916,"('소동', 21)"
917,"('카드', 21)"
918,"('원세훈', 21)"
919,"('변협', 21)"
920,"('해상', 21)"
921,"('대선', 21)"
922,"('네이버', 21)"
923,"('김성태', 21)"
924,"('의식', 20)"
925,"('최경환', 20)"
926,"('추적', 20)"
927,"('수석', 20)"
928,"('여', 20)"
929,"('상', 20)"
930,"('민간', 20)"
931,"('빼', 20)"
932,"('외교부', 20)"
933,"('힘', 20)"
934,"('출연', 20)"
935,"('후배', 20)"
936,"('평양', 20)"
937,"('관계', 20)"
938,"('국', 20)"
939,"('사이트', 20)"
940,"('판매', 20)"
941,"('도시', 20)"
942,"('일자리', 20)"
943,"('무더기', 20)"
944,"('안태', 20)"
945,"('치', 20)"
946,"('감사', 20)"
947,"('추모', 20)"
948,"('구한', 20)"
949,"('인터뷰', 20)"
950,"('청소년', 20)"
951,"('전원', 20)"
952,"('무슨', 20)"
953,"('종합', 20)"
954,"('강풍', 20)"
955,"('진짜', 20)"
956,"('법원행정처', 20)"
957,"('바람', 20)"
958,"('밥', 20)"
959,"('향', 20)"
960,"('정권', 20)"
961,"('예고', 20)"
962,"('공천', 20)"
963,"('침해', 20)"
964,"('성매매', 20)"
965,"('항소', 20)"
966,"('금융', 20)"
967,"('북상', 20)"
968,"('호텔', 20)"
969,"('저출산', 20)"
970,"('도우미', 20)"
971,"('통증', 20)"
972,"('주기', 19)"
973,"('파면', 19)"
974,"('고시원', 19)"
975,"('진행', 19)"
976,"('며', 19)"
977,"('응급실', 19)"
978,"('참여', 19)"
979,"('포함', 19)"
980,"('노동자', 19)"
981,"('순간', 19)"
982,"('지연', 19)"
983,"('포기', 19)"
984,"('소리', 19)"
985,"('직권남용', 19)"
986,"('발령', 19)"
987,"('패소', 19)"
988,"('방문', 19)"
989,"('막', 19)"
990,"('도박', 19)"
991,"('목사', 19)"
992,"('몰래', 19)"
993,"('빚', 19)"
994,"('보험', 19)"
995,"('식당', 19)"
996,"('상태', 19)"
997,"('잘못', 19)"
998,"('내달', 19)"
999,"('필리핀', 19)"
1000,"('퇴', 19)"
1001,"('집행', 19)"
1002,"('주식', 19)"
1003,"('고민', 19)"
1004,"('탓', 19)"
1005,"('항의', 19)"
1006,"('경남', 19)"
1007,"('이제', 19)"
1008,"('인도', 19)"
1009,"('신문', 19)"
1010,"('전두환', 19)"
1011,"('종', 19)"
1012,"('법인', 19)"
1013,"('기억', 19)"
1014,"('원정', 19)"
1015,"('김어준', 19)"
1016,"('죽음', 19)"
1017,"('조폭', 19)"
1018,"('돈스코이', 19)"
1019,"('동영상', 19)"
1020,"('여고', 19)"
1021,"('국무조정실', 19)"
1022,"('수도', 19)"
1023,"('민변', 19)"
1024,"('신동빈', 19)"
1025,"('스님', 19)"
1026,"('역', 19)"
1027,"('강진', 19)"
1028,"('간호사', 19)"
1029,"('용산', 19)"
1030,"('스튜디오', 19)"
1031,"('부영', 18)"
1032,"('합동', 18)"
1033,"('시험지', 18)"
1034,"('모', 18)"
1035,"('학부모', 18)"
1036,"('전담', 18)"
1037,"('정지', 18)"
1038,"('위헌', 18)"
1039,"('근로', 18)"
1040,"('문무', 18)"
1041,"('무혐의', 18)"
1042,"('주의보', 18)"
1043,"('돌파', 18)"
1044,"('어머니', 18)"
1045,"('항', 18)"
1046,"('분', 18)"
1047,"('조선', 18)"
1048,"('순', 18)"
1049,"('변론', 18)"
1050,"('행복', 18)"
1051,"('등장', 18)"
1052,"('편지', 18)"
1053,"('만', 18)"
1054,"('위안부', 18)"
1055,"('가슴', 18)"
1056,"('검찰총장', 18)"
1057,"('맘', 18)"
1058,"('유포', 18)"
1059,"('설립', 18)"
1060,"('비공개', 18)"
1061,"('기자회견', 18)"
1062,"('천안함', 18)"
1063,"('자리', 18)"
1064,"('추억', 18)"
1065,"('해결', 18)"
1066,"('트럼프', 18)"
1067,"('국무총리비서실', 18)"
1068,"('통해', 18)"
1069,"('예상', 18)"
1070,"('효과', 18)"
1071,"('휴가', 18)"
1072,"('민주당', 18)"
1073,"('강제추행', 18)"
1074,"('최강', 18)"
1075,"('모녀', 18)"
1076,"('파견', 17)"
1077,"('국장', 17)"
1078,"('원금', 17)"
1079,"('무효', 17)"
1080,"('정당', 17)"
1081,"('목숨', 17)"
1082,"('문자', 17)"
1083,"('정규직', 17)"
1084,"('전환', 17)"
1085,"('스포츠', 17)"
1086,"('인근', 17)"
1087,"('다리', 17)"
1088,"('조직', 17)"
1089,"('정상', 17)"
1090,"('공연', 17)"
1091,"('소식', 17)"
1092,"('폐쇄', 17)"
1093,"('배소', 17)"
1094,"('인기', 17)"
1095,"('데', 17)"
1096,"('연속', 17)"
1097,"('의무', 17)"
1098,"('권성동', 17)"
1099,"('집중', 17)"
1100,"('혼자', 17)"
1101,"('연극', 17)"
1102,"('조국', 17)"
1103,"('태양광', 17)"
1104,"('묵묵', 17)"
1105,"('이용', 17)"
1106,"('진상', 17)"
1107,"('돌', 17)"
1108,"('생명', 17)"
1109,"('코리아', 17)"
1110,"('나들이', 17)"
1111,"('총리', 17)"
1112,"('사무', 17)"
1113,"('객', 17)"
1114,"('철', 17)"
1115,"('책', 17)"
1116,"('상처', 17)"
1117,"('연루', 17)"
1118,"('방치', 17)"
1119,"('터미널', 17)"
1120,"('장기', 17)"
1121,"('흔적', 17)"
1122,"('윤', 17)"
1123,"('행', 17)"
1124,"('선임', 17)"
1125,"('의장', 17)"
1126,"('쪽', 17)"
1127,"('추천', 17)"
1128,"('여름', 17)"
